OrderID,CustomerID,OrderDate,ProductID,ProductName,Quantity,Price,Total,Status
8b616548-640c-41ee-a2f9-84b65f4c5163,CUST-8511,2024-01-19,PROD-207,Product-41,87,359.21,31251.27,Shipped
71ad76c6-deec-4805-90ed-7e7750dddb42,CUST-7558,2023-08-12,PROD-218,Product-76,43,221.82,9538.26,Shipped
de88e86b-bb2e-4f5a-8bf3-9909bad269a0,CUST-5618,2023-06-26,PROD-481,Product-53,40,385.14,15405.6,Shipped
7cf8394d-b7b5-4bf7-a0b1-004b1f62b313,CUST-5914,2023-06-28,PROD-678,Product-37,17,141.11,2398.87,Cancelled
57647843-4080-4f4a-a76d-4ade50fd36d6,CUST-8322,2024-01-17,PROD-778,Product-93,24,81.04,1944.96,Shipped
fc47b236-395e-4ee5-a27f-c950eaf99cfe,CUST-4959,2024-04-24,PROD-732,Product-46,6,165.77,994.62,Delivered
1cface48-b2a5-476f-92af-d8b04871db81,CUST-1587,2023-08-17,PROD-280,Product-90,1,364.09,364.09,Pending
7b5e2f27-552f-45a8-8e6e-bf49ad27182d,CUST-6966,2023-11-12,PROD-239,Product-33,72,16.65,1198.8,Cancelled
bc4256c1-ae21-45b8-af77-b9f89f910e1a,CUST-4088,2024-05-28,PROD-441,Product-74,87,221.45,19266.15,Shipped
7a35df89-fa30-428c-bd32-c4eeda072fb3,CUST-4984,2024-01-21,PROD-626,Product-7,55,165.87,9122.85,Cancelled
d511e796-5a2f-4ac3-98e4-2b63265f821e,CUST-5374,2024-01-27,PROD-409,Product-56,35,142.87,5000.45,Pending
2d0f094d-b08d-463f-a7b1-b2a78077d8e1,CUST-8913,2023-11-22,PROD-593,Product-15,25,215.69,5392.25,Cancelled
7168b792-8b83-4df0-b5a2-8be6655559bf,CUST-1315,2023-12-19,PROD-851,Product-17,12,265.86,3190.32,Shipped
ab685967-af7e-44e0-be0b-6f5f1b52ff46,CUST-9865,2023-11-23,PROD-339,Product-73,94,283.43,26642.42,Pending
822275a6-4609-4944-a364-fbdcda0b3e54,CUST-5802,2024-02-24,PROD-314,Product-5,33,382.46,12621.18,Cancelled
6f458eb3-4eca-4506-bc4a-b6e43c03d418,CUST-1404,2023-08-22,PROD-698,Product-5,83,314.38,26093.54,Delivered
c6a2fbcd-630c-41bc-a65c-ca47dacdf88e,CUST-9339,2024-05-09,PROD-520,Product-38,83,259.06,21501.98,Delivered
ec52b8db-92b0-4a93-9ef7-86c532c5a1b2,CUST-8130,2024-01-30,PROD-580,Product-91,59,382.98,22595.82,Cancelled
046bba08-068a-4b0f-8c2f-3792d5300177,CUST-1073,2023-09-17,PROD-606,Product-17,7,445.14,3115.98,Pending
1955cd03-76c2-41c6-8a8a-3153a3c72865,CUST-6097,2023-09-17,PROD-892,Product-20,75,314.31,23573.25,Shipped
f382fd64-326b-4d86-a36a-b0fcedead1b7,CUST-9700,2023-09-14,PROD-574,Product-84,55,463.61,25498.55,Cancelled
5a7b9932-48bb-42bc-84aa-c7da9bd9cee0,CUST-1534,2023-09-15,PROD-649,Product-79,37,353.22,13069.14,Pending
18af5834-94cb-4904-b8be-9201b4af6b94,CUST-2125,2023-07-30,PROD-996,Product-1,84,222.36,18678.24,Pending
f43124c7-4a4d-49cc-851f-82292c736370,CUST-2923,2024-03-30,PROD-677,Product-23,99,388.34,38445.66,Shipped
af3020af-19a3-4038-95ae-272a1645da6f,CUST-6531,2024-06-09,PROD-456,Product-74,35,194.08,6792.8,Cancelled
bb9b1d7e-80c3-4468-b1c3-fc7c28e7d33f,CUST-1616,2024-01-17,PROD-912,Product-23,54,31.2,1684.8,Shipped
4e87e486-6727-4211-95d7-0c9907d17e17,CUST-2148,2023-10-10,PROD-419,Product-79,4,457.17,1828.68,Pending
a67ce019-df9f-4f5c-b1aa-2db1f658d46e,CUST-8815,2023-12-09,PROD-924,Product-80,73,90.53,6608.69,Delivered
72efe427-c10e-4e1b-a0c8-5c9735e3e305,CUST-4716,2024-01-20,PROD-415,Product-25,96,72.09,6920.64,Delivered
46db1874-2b5d-40f2-a59f-cd1cc714c866,CUST-4245,2023-10-11,PROD-538,Product-46,55,453.99,24969.45,Delivered
c9ae4ba1-74c6-4ee8-9364-51feed35e474,CUST-2129,2023-07-16,PROD-466,Product-85,82,464.43,38083.26,Delivered
36be0366-e9b8-41ea-8607-dbd87af26dea,CUST-9001,2024-02-08,PROD-118,Product-44,99,462.7,45807.3,Cancelled
e58f9edb-c045-4fea-b6cf-7d114c276cae,CUST-9182,2024-04-22,PROD-965,Product-98,72,35.86,2581.92,Delivered
d562aa30-f063-4fda-821a-e9e8f2b14ba4,CUST-3202,2024-02-18,PROD-264,Product-77,29,116.81,3387.49,Shipped
53a5d473-116a-40bf-b461-222818769058,CUST-5804,2024-04-08,PROD-140,Product-13,63,250.62,15789.06,Cancelled
6d8925f8-626a-411d-8b80-00281334141a,CUST-8664,2024-03-06,PROD-914,Product-76,88,206.02,18129.76,Pending
9a0c7e41-4ed0-4b77-8247-7667f5ca3e56,CUST-2669,2023-09-22,PROD-276,Product-79,35,109.44,3830.4,Pending
